Name,Latitude,Longitude,Color
Centro de las artes (E8),9.857604000,-83.9115480,#a6220b
Departamento financiero contable (A1),9.85685300,-83.91228500,#d3e329
Vicerrectoria de Investigacion y Extension (A1),9.856851000,-83.91233000,#d3e329
Recursos Humanos TEC (A1),9.857015000,-83.91247200,#d3e329
DATIC (A2),9.856821000,-83.9126340,#d3e329
Admision y Registro (A3),9.856618000,-83.91308400,#d3e329
Escuela de Ciencias Sociales (A4),9.856133000,-83.91318500,#d3e329
Centro de Investigacion en Computacion (A5),9.856876000,-83.91292500,#d3e329
B1,9.855943000,-83.91261400,#3a69e2
B2,9.856141000,-83.91260100,#3a69e2
B3,9.856353000,-83.9125990,#3a69e2
FEITEC (B4),9.855999000,-83.91205600,#3a69e2
Unidad De Cultura (B5),9.856291000,-83.9118620,#3a69e2
DATIC anexo 2 (B6),9.856585000,-83.91196100,#3a69e2
Oficina de Comunicacion y Mercadeo (B7),9.85589200,-83.91154600,#3a69e2
AFITEC (C1),9.855707000,-83.91316000,#ed8719
Biblioteca Jose Figueres Ferrer (C3),9.855017000,-83.91260800,#ed8719
Escuela de Fisica (C4),9.855067000,-83.91322400,#ed8719
C9,9.855461000,-83.91332800,#ed8719
Restaurante institucional (C10),9.855367000,-83.91287000,#ed8719
Escuela de Administracion de Empresas (D1),9.855676000,-83.91223000,#5dbafd
TEC DIGITAL (D2),9.855624000,-83.91179700,#5dbafd
D3,9.855585000,-83.91124000,#5dbafd
D4,9.855494000,-83.9109060,#5dbafd
Asetec (D5),9.855403000,-83.91224700,#5dbafd
D6,9.855364000,-83.91201900,#5dbafd
Escuela de Administracion de Tecnologi�as de Informacion (D7),9.85530400,-83.91165400,#5dbafd
Centro De Archivo y Comunicaciones (D8),9.855161000,-83.91093600,#5dbafd
Taller de Publicaciones (D9),9.8552330,-83.91063600,#5dbafd
Escuela de Ingenieria Electromecanica (D10),9.854934000,-83.91169100,#5dbafd
D11,9.854581000,-83.91150700,#5dbafd
Gimnasio Armando Vazquez Rojas (E1),9.85700700,-83.91079300,#a6220b
Piscina TEC (E2),9.856920000,-83.91038400,#a6220b
E6,9.856592000,-83.91052000,#a6220b
GYM TEC (E11),9.85656200,-83.91075400,#a6220b
"Escuela Ingenieria en Construccion, Escuela de Ingenieria en Biotecnologia (F1)",9.855138000,-83.90949800,#e83342
Escuela de Ingenieri�a en Computadores (F2),9.855224000,-83.90904900,#e83342
F3,9.854959000,-83.90908100,#e83342
LAIMI Corte laser e impresion 3D (F4),9.855259000,-83.90849300,#e83342
F5,9.8549470,-83.90862300,#e83342
TEC Emprende Lab (F7),9.855255000,-83.91015700,#e83342
Escuela Ciencias del Lenguaje (F9),9.854924000,-83.90793800,#e83342
LAIMI 2 (F10),9.85512600,-83.908298,#e83342
Farmacia tec (F11),9.855239000,-83.90974000,#e83342
G1,9.854406000,-83.90910400,#ca2a6b
"TEC Maestria, Editorial Tecnologica de Costa Rica (G2)",9.854549000,-83.90879200,#ca2a6b
Planta Piloto Agroindustrial (PPA) Escuela de Agronegocios (G3),9.854294000,-83.90882000,#ca2a6b
G4,9.854195000,-83.90836900,#ca2a6b
CECO (G5),9.854236000,-83.90794500,#ca2a6b
CIVCO (G6),9.854335000,-83.90759100,#ca2a6b
G7,9.853906000,-83.90837300,#ca2a6b
G8,9.854438000,-83.909688,#ca2a6b
"Soda El Lago, Kakaomarket, Asociacion Solidarista de Empleados del TEC ) (G13)",9.8542470,-83.91033800,#ca2a6b
Unidad De Transportes TEC (G14),9.853805000,-83.91009500,#ca2a6b
TEC Kindergarten (ATIPTEC) (G16),9.854563000,-83.91001400,#ca2a6b
Escuela de ingenieri�a ambiental (G17),9.853627000,-83.90791500,#ca2a6b
Aulas G18 (G18),9.85465300,-83.90925800,#ca2a6b
Centro de Investigacion en Biotecnologia (CIB) (G19),9.852923000,-83.90766200,#ca2a6b
Vivero forestal (H1),9.853075000,-83.90932200,#dbde21
Escuela de Ingeneria en Materiales (H2),9.853452000,-83.90969400,#dbde21
Asociacion De Estudiantes De Ingeneria Agricola (H3),9.853554000,-83.90997800,#dbde21
Escuela de Ingeniería Agrícola (H4),9.853314000,-83.90970700,#dbde21
H5,9.853695000,-83.91055800,#dbde21
Campo de Prácticas Docentes Agrícolas Ingeniería en Agronegocios (H6),9.853469000,-83.91046700,#dbde21
I1,9.853741000,-83.91200500,#b4a35e
I2,9.853683000,-83.91174800,#b4a35e
Escuela de Ingeniería en Producción Industrial (I3),9.853925000,-83.91152200,#b4a35e
