Name,Centro de las artes (E8),Departamento financiero contable (A1),Vicerrectoria de Investigacion y Extension (A1),Recursos Humanos TEC (A1),DATIC (A2),Admision y Registro (A3),Escuela de Ciencias Sociales (A4),Centro de Investigacion en Computacion (A5),B1,B2,B3,FEITEC (B4),Unidad De Cultura (B5),DATIC anexo 2 (B6),Oficina de Comunicacion y Mercadeo (B7),AFITEC (C1),Biblioteca Jose Figueres Ferrer (C3),Escuela de Fisica (C4),C9,Restaurante institucional (C10),Escuela de Administracion de Empresas (D1),TEC DIGITAL (D2),D3,D4,Asetec (D5),D6,Escuela de Administracion de Tecnologi�as de Informacion (D7),Centro De Archivo y Comunicaciones (D8),Taller de Publicaciones (D9),Escuela de Ingenieria Electromecanica (D10),D11,Gimnasio Armando Vazquez Rojas (E1),Piscina TEC (E2),E6,GYM TEC (E11),"Escuela Ingenieria en Construccion, Escuela de Ingenieria en Biotecnologia (F1)",Escuela de Ingenieri�a en Computadores (F2),F3,LAIMI Corte laser e impresion 3D (F4),F5,TEC Emprende Lab (F7),Escuela Ciencias del Lenguaje (F9),LAIMI 2 (F10),Farmacia tec (F11),G1,"TEC Maestria, Editorial Tecnologica de Costa Rica (G2)",Planta Piloto Agroindustrial (PPA) Escuela de Agronegocios (G3),G4,CECO (G5),CIVCO (G6),G7,G8,"Soda El Lago, Kakaomarket, Asociacion Solidarista de Empleados del TEC ) (G13)",Unidad De Transportes TEC (G14),TEC Kindergarten (ATIPTEC) (G16),Escuela de ingenieri�a ambiental (G17),Aulas G18 (G18),Centro de Investigacion en Biotecnologia (CIB) (G19),Vivero forestal (H1),Escuela de Ingeneria en Materiales (H2),Asociacion De Estudiantes De Ingeneria Agricola (H3),Escuela de Ingeniería Agrícola (H4),H5,Campo de Prácticas Docentes Agrícolas Ingeniería en Agronegocios (H6),I1,I2,Escuela de Ingeniería en Producción Industrial (I3),Escuela de Ciencia e Ingeniería de los Materiales (I4),"Colegio Científico de Costa Rica, sede de Cartago (TEC) (I5)",Aulas I ITCR (I6),Residencias Estudiantiles Hombres 1 (J1),Residencias Estudiantiles Hombres 2 (J2),J5,J6,Residencias Estudiantiles (J7),Escuela de Ingeniería Electrónica (K1),Escuela de Ingeniría en Seguridad Laboral e Higiene Ambiental (K2),Learning Commons (K3),Comedor Estudiantil (K4),K5,Escuela de Ing Diseño Industrial (K6),L1,L2,Escuela de Ingeniería Forestal (L3),Centro Investigación Innovación Forestal (CIF) (L4),Soda La Casita Forestal (L7),Soda La Deportiva,Pretil,Lago TEC (M3),Cancha Baloncesto (E9),Cancha de Futbol ITCR (E4),Cancha de F�tbol (E12),Canchas Sinteticas ITCR (E10),Campo de Béisbol (E5),12
Centro de las artes (E8),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Departamento financiero contable (A1),0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicerrectoria de Investigacion y Extension (A1),0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recursos Humanos TEC (A1),0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATIC (A2),0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admision y Registro (A3),0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escuela de Ciencias Sociales (A4),0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Centro de Investigacion en Computacion (A5),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B2,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B3,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEITEC (B4),0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidad De Cultura (B5),0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATIC anexo 2 (B6),1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oficina de Comunicacion y Mercadeo (B7),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFITEC (C1),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Biblioteca Jose Figueres Ferrer (C3),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escuela de Fisica (C4),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
