Name,Latitude,Longitude,Color
Centro de las artes (E8),9.857604,-83.911548,#a6220b
Departamento financiero contable (A1),9.856853,-83.912285,#d3e329
Vicerrectoria de Investigacion y Extension (A1),9.856851,-83.91233,#d3e329
Recursos Humanos TEC (A1),9.857015,-83.912472,#d3e329
DATIC (A2),9.856821,-83.912634,#d3e329
Admision y Registro (A3),9.856618,-83.913084,#d3e329
Escuela de Ciencias Sociales (A4),9.856133,-83.913185,#d3e329
Centro de Investigacion en Computacion (A5),9.856876,-83.912925,#d3e329
B1,9.855943,-83.912614,#3a69e2
B2,9.856141,-83.912601,#3a69e2
B3,9.856353,-83.912599,#3a69e2
FEITEC (B4),9.855999,-83.912056,#3a69e2
Unidad De Cultura (B5),9.856291,-83.911862,#3a69e2
DATIC anexo 2 (B6),9.856585,-83.911961,#3a69e2
Oficina de Comunicacion y Mercadeo (B7),9.855892,-83.911546,#3a69e2
AFITEC (C1),9.855707,-83.91316,#ed8719
Biblioteca Jose Figueres Ferrer (C3),9.855017,-83.912608,#ed8719
Escuela de Fisica (C4),9.855067,-83.913224,#ed8719
C9,9.855461,-83.913328,#ed8719
Restaurante institucional (C10),9.855367,-83.91287,#ed8719
Escuela de Administracion de Empresas (D1),9.855676,-83.91223,#5dbafd
TEC DIGITAL (D2),9.855624,-83.911797,#5dbafd
D3,9.855585,-83.91124,#5dbafd
D4,9.855494,-83.910906,#5dbafd
Asetec (D5),9.855403,-83.912247,#5dbafd
D6,9.855364,-83.912019,#5dbafd
Escuela de Administracion de Tecnologi�as de Informacion (D7),9.855304,-83.911654,#5dbafd
Centro De Archivo y Comunicaciones (D8),9.855161,-83.910936,#5dbafd
Taller de Publicaciones (D9),9.855233,-83.910636,#5dbafd
Escuela de Ingenieria Electromecanica (D10),9.854934,-83.911691,#5dbafd
D11,9.854581,-83.911507,#5dbafd
Gimnasio Armando Vazquez Rojas (E1),9.857007,-83.910793,#a6220b
Piscina TEC (E2),9.85692,-83.910384,#a6220b
E6,9.856592,-83.91052,#a6220b
GYM TEC (E11),9.856562,-83.910754,#a6220b
"Escuela Ingenieria en Construccion, Escuela de Ingenieria en Biotecnologia (F1)",9.855138,-83.909498,#e83342
Escuela de Ingenieri�a en Computadores (F2),9.855224,-83.909049,#e83342
F3,9.854959,-83.909081,#e83342
